鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
七堵區,土地,溪頭段421~450地號,47.83,住,,,1070915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2604312,54449,,0.0,0,,RPSNMLLKIINFFCC47CA
七堵區,房地(土地+建物),基隆市七堵區長安街231巷91~120號,58.07,,鄉村區,乙種建築用地,1070808,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,87.57,3,2,2,有,無,5920000,67603,,0.0,0,,RPRNMLOKIINFFCC67CA
安樂區,房地(土地+建物),基隆市安樂區基金一路211~240號,30.24,住,,,1070831,土地1建物2車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830310,169.14000000000001,3,2,2,有,有,5800000,34291,,0.0,0,兩戶打通,RPQNMLTJIINFFCC97CA
信義區,房地(土地+建物),基隆市信義區教忠街141巷1~30號,84.24,住,,,1070909,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0891030,174.14,5,2,3,有,無,10600000,60871,,0.0,0,,RPSNMLOLIINFFBC77CA
暖暖區,房地(土地+建物),基隆市暖暖區暖中路31~60號,49.46,住,,,1070911,土地1建物1車位0,一層，騎樓，停車場,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700902,119.89,5,2,2,有,無,4200000,35032,,0.0,0,,RPPNMLSJIINFFCC77CA
中正區,房地(土地+建物),基隆市中正區中正路640巷1~30號,27.09,住,,,1070909,土地5建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691212,79.84,3,1,1,有,無,2320000,29058,,0.0,0,,RPWNMLTJIINFFBC48CA
仁愛區,房地(土地+建物),基隆市仁愛區仁二路91~120號,24.8,商,,,1070910,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,加強磚造,0550301,105.69,3,1,1,有,無,5300000,50147,,0.0,0,,RPRNMLLKIINFFBC27CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路38巷1~30號,29.42,住,,,1070826,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,118.4,3,1,1,有,有,6600000,55743,坡道平面,24.17,0,,RPWNMLLKIINFFBC77CA
中正區,房地(土地+建物),基隆市中正區中船路5巷1~30號,12.92,商,,,1070824,土地1建物2車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741219,112.22999999999999,3,1,1,有,有,4000000,35641,,0.0,0,,RPPOMLLKIINFFBC17CA
中正區,房地(土地+建物),基隆市中正區中正路656巷1~30號,50.8,住,,,1070910,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800129,136.89,4,3,3,有,無,3960000,28928,,0.0,0,,RPPNMLPJIINFFBC37CA
中正區,車位,基隆市中正區新豐街271~300號,0.0,,,,1070920,土地0建物0車位1,,,其他,,,,36.84,0,0,0,有,有,384000,,坡道平面,36.84,384000,,RPQNMLPJIINFFBC47CA
中正區,房地(土地+建物),基隆市中正區平一路27巷1~30號,23.75,住,,,1070918,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610229,65.02,3,1,1,有,無,860000,13227,,0.0,0,,RPUNMLTJIINFFBC28CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路117巷10弄1~30號,14.33,商,,,1070827,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800319,76.31,2,1,1,有,無,2500000,32761,,0.0,0,,RPQNMLTJIINFFBC87CA
信義區,房地(土地+建物),基隆市信義區正信路175巷1~30號,28.0,住,,,1070917,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670628,67.3,2,2,2,有,無,1750000,26003,,0.0,0,屋況需整理,RPOOMLTJIINFFBC77CA
中正區,房地(土地+建物),基隆市信義區義一路61~90號,6.23,商,,,1070823,土地2建物1車位0,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0860503,61.84,0,0,0,無,有,3650000,59023,,0.0,0,,RPPOMLTJIINFFBC87CA
中正區,房地(土地+建物),基隆市中正區新豐街303巷17弄1~30號,29.36,住,,,1070823,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,110.39,3,2,2,有,有,3800000,34423,,0.0,0,,RPQOMLTJIINFFBC97CA
中正區,房地(土地+建物),基隆市中正區觀海街151~180號,21.84,住,,,1070912,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880114,109.92,2,2,1,有,有,4280000,38937,,0.0,0,,RPTNMLLKIINFFBC47CA
中正區,房地(土地+建物),基隆市中正區義二路61~90號,14.33,商,,,1070919,土地2建物1車位0,四層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680131,72.28,3,1,1,有,無,2700000,37355,,0.0,0,六層樓無電梯。,RPQNMLLKIINFFBC17CA
信義區,房地(土地+建物)+車位,基隆市信義區教孝街61~90號,23.36,住,,,1070908,土地2建物2車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820618,148.9,3,2,2,有,無,5200000,34925,坡道平面,0.0,0,,RPSNMLTKIINFFBC18CA
信義區,房地(土地+建物)+車位,基隆市信義區孝東路121~150號,23.64,住,,,1070609,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,201.32,3,2,2,有,有,9350000,50194,坡道平面,35.96,1050000,,RPTOMLPKIINFFBC97CA
