鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
水里鄉,房地(土地+建物),南投縣水里鄉市場街181~210號,77.0,住,,,1070913,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0690104,151.5,4,1,3,有,無,3200000,21122,,0.0,0,,RPPNMLSJIINFFEM98CA
埔里鎮,土地,坪仔頂段571~600地號,358.29,,山坡地保育區,林業用地,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,216000,603,,0.0,0,,RPTNMLSJIINFFCM66DA
埔里鎮,土地,忠良段1~30地號,169.13,,特定農業區,農牧用地,1070916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,26607,,0.0,0,建物2500000元,RPRNMLTJIINFFCM56DA
水里鄉,土地,永豐段1111~1140地號,1190.0,工,,,1070808,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20880000,17546,,0.0,0,,RPPNMLRKIINFFEM98CA
集集鎮,房地(土地+建物),南投縣集集鎮文心街101巷1~30號,104.71,住,,,1070910,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930109,157.02,4,2,3,有,無,4500000,28659,,0.0,0,防火巷增建,RPPNMLTKIINFFEM56CA
信義鄉,土地,人倫段1~30地號,2926.0,,一般農業區,農牧用地,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,865000,296,,0.0,0,,RPPNMLLMIINFFEM58CA
南投市,房地(土地+建物),南投縣南投市文化南路104巷2弄1~30號,166.67,住,,,1070917,土地9建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840726,281.55,5,2,3,有,無,8680000,30829,,0.0,0,,RPPNMLRKIINFFAM68DA
草屯鎮,土地,碧峰段61~90地號,13.98,,鄉村區,交通用地,1070906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,14306,,0.0,0,,RPRNMLLKIINFFBM38DA
埔里鎮,房地(土地+建物),南投縣埔里鎮合作一街1~30號,96.38,農,,,1070918,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0641208,48.36,3,1,1,有,無,1800000,37221,,0.0,0,權利人有二人,RPQNMLSJIINFFCM98DA
國姓鄉,土地,北山坑段31~60地號,137.0,,鄉村區,乙種建築用地,1070714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,146,,0.0,0,,RPSNMLSJIINFFCM56DA
竹山鎮,土地,竹圍子段小段241~270地號,1361.0,住,,,1070710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28819000,21175,,0.0,0,,RPQNMLTLIINFFDM66CA
竹山鎮,房地(土地+建物),南投縣竹山鎮枋坪巷2之32弄1~30號,6.39,住,,,1070925,土地1建物1車位0,地下二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850301,31.45,1,1,1,有,無,300000,9539,,0.0,0,,RPRNMLOJIINFFDM68CA
埔里鎮,土地,慈恩段661~690地號,195.9,,鄉村區,乙種建築用地,1060113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4600000,23481,,0.0,0,,RPTNMLQLIINFFCM56CA
埔里鎮,建物,南投縣埔里鎮九成街117巷31~60號,0.0,,,,1060113,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070515,147.96,4,3,3,有,無,3780000,25547,,0.0,0,,RPUNMLQLIINFFCM66CA
埔里鎮,房地(土地+建物),南投縣埔里鎮育英街1~30號,112.21,住,,,1070928,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0771129,305.8,3,3,3,有,無,13500000,44147,,0.0,0,,RPPNMLQKIINFFCM68CA
國姓鄉,土地,北山坑段31~60地號,1407.67,,山坡地保育區,農牧用地,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,995,,0.0,0,,RPVNMLSJIINFFCM76CA
草屯鎮,土地,中興段1831~1860地號,105.0,住,,,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6828400,65032,,0.0,0,,RPQNMLSKIINFFBM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富昌路富有巷9弄1~30號,101.47,住,,,1070816,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0750716,115.16,3,2,2,有,無,6000000,52101,,0.0,0,,RPPNMLPJIINFFBM38CA
草屯鎮,土地,新光段2101~2130地號,362.91,,特定農業區,水利用地,1070831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2322621,6400,,0.0,0,貓羅溪石川延長段防災減災工程(三)協議價購,RPQNMLPJIINFFBM48CA
南投市,土地,新小半山段61~90地號,1947.6,,山坡地保育區,農牧用地,1070707,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,3081,,0.0,0,,RPPOMLMLIINFFAM28CA
南投市,房地(土地+建物),南投縣南投市新興路291巷1~30號,78.45,住,,,1070817,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0740829,72.65,4,3,2,有,無,5650000,77770,,0.0,0,,RPQNMLNLIINFFAM38CA
名間鄉,土地,出林虎段31~60地號,14.15,,,,1070915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65000,4594,,0.0,0,,RPXNMLTLIINFFAM07CA
南投市,土地,半山段361~390地號,587.57,住,,,1070808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9800000,16679,,0.0,0,,RPWNMLTJIINFFAM76CA
中寮鄉,土地,八杞仙段511~540地號,9010.0,,山坡地保育區,農牧用地,1070529,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,255,,0.0,0,,RPSNMLSJIINFFAM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富春路1~30號,78.85,住,,,1070808,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710227,109.78,3,2,2,有,無,3500000,31882,,0.0,0,,RPQNMLSJIINFFBM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路492之16巷1~30號,82.11,住,,,1070809,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840420,177.85,5,2,3,有,無,7500000,42170,,0.0,0,,RPRNMLSKIINFFBM98CA
埔里鎮,房地(土地+建物),南投縣埔里鎮東門里中正路361~390號,6.05,商,,,1070922,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0831013,57.44,1,1,1,有,有,1400000,24373,,0.0,0,,RPPNMLTJIINFFCM88CA
國姓鄉,土地,北港溪段31~60地號,3804.0,,特定農業區,農牧用地,1070903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,3023,,0.0,0,,RPSNMLTJIINFFCM56CA
草屯鎮,土地,雙冬段雙冬小段451~480地號,3900.0,,山坡地保育區,農牧用地,1070824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,718,,0.0,0,,RPPNMLLMIINFFBM28CA
草屯鎮,土地,南埔段781~810地號,162.85,,鄉村區,乙種建築用地,1070530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,508880,3125,,0.0,0,(拍賣),RPSNMLMJJINFFBM48CA
埔里鎮,土地,福興段991~1020地號,78.0,,山坡地保育區,農牧用地,1070922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,1282,,0.0,0,,RPQNMLPJIINFFCM58CA
草屯鎮,房地(土地+建物),南投縣草屯鎮富中路81巷1~30號,118.9,住,,,1070725,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040714,209.56,4,2,5,有,有,11000000,52491,,0.0,0,,RPQNMLPLIINFFBM68CA
草屯鎮,土地,新雙冬段361~390地號,975.43,,山坡地保育區,農牧用地,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,7176,,0.0,0,,RPVNMLQKIINFFBM56CA
埔里鎮,土地,忠良段421~450地號,3814.14,,特定農業區,農牧用地,1070919,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,2097,,0.0,0,,RPRNMLRKIINFFCM98CA
埔里鎮,土地,水源段181~210地號,4939.68,,特定農業區,農牧用地,1070905,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,4454,,0.0,0,,RPSNMLRKIINFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮北環路121~150號,76.15,住,,,1070821,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0700115,153.32,4,2,3,有,無,7700000,50222,,0.0,0,"買受人共2人,權利範圍各1/2",RPWNMLTJIINFFCM96CA
埔里鎮,土地,東埔段1081~1110地號,3661.9,,山坡地保育區,農牧用地,1070817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8800000,2403,,0.0,0,,RPRNMLLKIINFFCM38CA
竹山鎮,土地,大坑段頂林小段91~120地號,4480.0,,山坡地保育區,農牧用地,1070913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220000,49,,0.0,0,含地上物-麻竹,RPTNMLSJIINFFDM66CA
竹山鎮,房地(土地+建物),南投縣竹山鎮前山路橫巷1~30號,32.15,住,,,1070906,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840408,119.52,3,2,2,有,無,2000000,16734,,0.0,0,,RPQNMLTKIINFFDM56CA
中寮鄉,土地,二重溪段361~390地號,37.61,,山坡地保育區,丙種建築用地,1070820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,157962,4200,,0.0,0,,RPOOMLKMIINFFAM18DA
中寮鄉,土地,龍眼林段931~960地號,1709.0,,山坡地保育區,農牧用地,1070829,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,930000,544,,0.0,0,,RPVNMLLKIINFFAM68DA
埔里鎮,房地(土地+建物),南投縣埔里鎮九成街117巷1~30號,167.26,,鄉村區,乙種建築用地,1060713,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070515,164.32,3,3,3,有,無,8380000,50998,,0.0,0,,RPTNMLPKIINFFCM09DA
埔里鎮,土地,坪仔頂段571~600地號,537.44,,山坡地保育區,林業用地,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,325140,605,,0.0,0,,RPUNMLSJIINFFCM76DA
南投市,土地,茄苳腳段331~360地號,4146.0,,特定農業區,農牧用地,1070917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,1930,,0.0,0,,RPQNMLTJIINFFAM88DA
