鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
員林市,房地(土地+建物),彰化縣員林市員集路二段552巷61~90號,113.5,住,,,1070905,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060113,282.94,6,3,6,有,無,19200000,67859,,0.0,0,,RPTOMLRKIINFFDN86CA
員林市,房地(土地+建物),彰化縣員林市中山南路191巷18弄1~30號,73.5,住,,,1070905,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740205,108.0,5,2,3,有,無,4800000,44444,,0.0,0,第三層未保存一併移轉,RPSNMLMLIINFFDN88CA
員林市,土地,三和段151~180地號,3765.0,,特定農業區,農牧用地,1070321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31076360,8254,,0.0,0,,RPTNMLMLIINFFDN98CA
員林市,土地,三和段631~660地號,2412.0,住,,,1070321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110463250,45797,,0.0,0,,RPUNMLMLIINFFDN09CA
員林市,土地,三和段901~930地號,818.11,住,,,1070321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39808990,48660,,0.0,0,,RPWNMLMLIINFFDN66CA
員林市,土地,三條段751~780地號,3135.49,住,,,1070321,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,214727760,68483,,0.0,0,,RPXNMLMLIINFFDN76CA
員林市,房地(土地+建物)+車位,彰化縣員林市南平東街31~60號,16.66,住,,,1070831,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800724,129.83,3,2,2,有,無,4830000,37202,坡道機械,0.0,0,,RPUNMLRKIINFFDN86CA
田中鎮,房地(土地+建物),彰化縣田中鎮東閔路一段399巷1~30號,85.15,,鄉村區,乙種建築用地,1050724,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070125,141.41,4,2,3,有,無,5650000,39955,,0.0,0,,RPQNMLSKIINFFEN66CA
員林市,房地(土地+建物),彰化縣員林市員東路二段423巷1~30號,77.0,住,,,1070907,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700622,140.4,5,2,3,有,無,8800000,62678,,0.0,0,,RPPOMLLJJINFFDN48CA
員林市,房地(土地+建物)+車位,彰化縣員林市員林大道五段181~210號,21.51,住,,,1070905,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070103,160.85000000000002,3,2,2,有,有,8900000,55104,坡道平面,15.67,900000,,RPTNMLPLIINFFDN66CA
員林市,土地,復興段1021~1050地號,87.66,其他,,,1070827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1451650,16560,,0.0,0,"公共設施保留地之交易。地政士僅受託買賣案件申請登記,並無代理撰擬不動產買賣契約書,係由出賣人自行提供成交案件實際資訊,供地政士申報登錄。",RPTNMLQLIINFFDN76CA
二林鎮,房地(土地+建物),彰化縣二林鎮中山路240巷31~60號,83.48,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070209,158.31,4,2,4,有,無,7080000,44722,,0.0,0,,RPUNMLNJIINFFGN66CA
二林鎮,房地(土地+建物),彰化縣二林鎮中山路240巷31~60號,82.37,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070209,158.57,4,2,4,有,無,6800000,42883,,0.0,0,,RPWNMLNJIINFFGN86CA
二林鎮,房地(土地+建物),彰化縣二林鎮中山路240巷31~60號,81.24,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070209,158.31,4,2,4,有,無,6960000,43964,,0.0,0,,RPXNMLNJIINFFGN96CA
二林鎮,土地,柳子溝段121~150地號,3357.31,,一般農業區,農牧用地,1070906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4196000,1250,,0.0,0,,RPQNMLOJIINFFGN98CA
大城鄉,土地,上豐段931~960地號,1627.0,,一般農業區,農牧用地,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1680000,1033,,0.0,0,,RPRNMLOJIINFFGN09CA
芳苑鄉,土地,草湖段1~30地號,295.0,,一般農業區,農牧用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,271,,0.0,0,,RPUNMLOJIINFFGN76CA
大城鄉,土地,東城段751~780地號,6688.53,農,,,1070907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10701648,1600,,0.0,0,權利人共2人包括地上物電力鑿井在內,RPPOMLOJIINFFGN98CA
竹塘鄉,土地,竹塘段181~210地號,1200.0,,特定農業區,農牧用地,1070911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1667,,0.0,0,,RPQOMLOJIINFFGN09CA
北斗鎮,土地,中寮段121~150地號,225.9,農,,,1070904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2880000,12749,,0.0,0,,RPQNMLPKIINFFFN09CA
溪湖鎮,土地,田中段91~120地號,138.3,住,,,1070907,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2160000,15618,,0.0,0,,RPSNMLNJIINFFHN56CA
