鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,建物,臺北市中山區吉林路61~90號,0.0,商,,,1070912,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,277.42,3,2,2,有,無,有,75000,270,,0.0,0,,RPRNMLNJIINFFCA47CC
中山區,房地(土地+建物),臺北市中山區松江路181~210號,1041.0,商,,,1070921,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0671219,68.83,2,2,1,有,無,有,33000,479,,0.0,0,,RPQOMLNJIINFFCA47CC
中山區,房地(土地+建物),臺北市中山區明水路397巷18弄1~30號,52.63,住,,,1070907,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960919,209.94,3,2,2,有,有,有,95000,453,,0.0,0,,RPROMLNJIINFFCA57CC
中山區,房地(土地+建物),臺北市中山區民族東路91~120號,35.0,住,,,1070918,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),,加強磚造,,88.31,0,0,0,無,無,有,23000,260,,0.0,0,,RPOPMLNJIINFFCA37CC
中山區,建物,臺北市中山區八德路二段61~90號,0.0,住,,,1070904,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750616,113.86,0,0,2,有,無,無,35000,307,,0.0,0,,RPPPMLNJIINFFCA47CC
中山區,建物,臺北市中山區民生東路二段1~30號,0.0,商,,,1070912,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021112,198.9,3,2,2,有,無,有,106000,533,,0.0,0,,RPRPMLNJIINFFCA67CC
中山區,建物,臺北市中山區中山北路一段31~60號,0.0,商,,,1071001,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0990903,262.99,3,2,3,有,有,無,100000,380,坡道平面,39.72,0,租金含管理費,RPSPMLNJIINFFCA77CC
中山區,建物,臺北市中山區民生東路二段1~30號,0.0,商,,,1070914,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021112,150.69,3,2,2,有,無,有,80000,531,,0.0,0,,RPTPMLNJIINFFCA87CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,商,,,1071003,土地0建物1車位0,地下一層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0700731,156.0,0,0,0,無,無,無,50000,321,,0.0,0,,RPTQMLNJIINFFCA97CC
松山區,建物,臺北市松山區健康路391~420號,0.0,住,,,1070917,土地0建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000706,352.75,4,2,3,有,無,有,120000,340,其他,0.0,0,,RPVNMLNJIINFFDA97CC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1070913,土地0建物1車位0,見其他登記事項,28,店面(店鋪),商業用,鋼骨混凝土造,0820813,182.62,0,0,0,無,無,無,85000,465,,0.0,0,,RPWNMLNJIINFFDA08CC
松山區,建物,臺北市松山區東興路1~30號,0.0,住,,,1070921,土地0建物2車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0790817,236.8,0,0,0,無,無,無,90000,380,,0.0,0,,RPPOMLNJIINFFDA47CC
信義區,建物,臺北市信義區林口街52巷1~30號,0.0,住,,,1071001,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0581215,67.65,3,2,1,有,無,無,18000,266,,0.0,0,,RPQOMLNJIINFFDA57CC
南港區,房地(土地+建物),臺北市南港區興華路114巷1~30號,35.75,住,,,1070930,土地2建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650322,92.4,0,0,0,無,無,無,37500,406,,0.0,0,,RPSOMLNJIINFFDA77CC
