name,schema,description
a_lvr_land_c.csv,schema-main-rent.csv,臺北市不動產租賃
a_lvr_land_c_build.csv,schema-build.csv,臺北市建物不動產租賃
a_lvr_land_c_land.csv,schema-land.csv,臺北市土地不動產租賃
a_lvr_land_c_park.csv,schema-park.csv,臺北市停車場不動產租賃
b_lvr_land_c.csv,schema-main-rent.csv,臺中市不動產租賃
b_lvr_land_c_build.csv,schema-build.csv,臺中市建物不動產租賃
b_lvr_land_c_land.csv,schema-land.csv,臺中市土地不動產租賃
b_lvr_land_c_park.csv,schema-park.csv,臺中市停車場不動產租賃
c_lvr_land_c.csv,schema-main-rent.csv,基隆市不動產租賃
c_lvr_land_c_build.csv,schema-build.csv,基隆市建物不動產租賃
c_lvr_land_c_land.csv,schema-land.csv,基隆市土地不動產租賃
d_lvr_land_c.csv,schema-main-rent.csv,臺南市不動產租賃
d_lvr_land_c_build.csv,schema-build.csv,臺南市建物不動產租賃
d_lvr_land_c_land.csv,schema-land.csv,臺南市土地不動產租賃
d_lvr_land_c_park.csv,schema-park.csv,臺南市停車場不動產租賃
e_lvr_land_c.csv,schema-main-rent.csv,高雄市不動產租賃
e_lvr_land_c_build.csv,schema-build.csv,高雄市建物不動產租賃
e_lvr_land_c_land.csv,schema-land.csv,高雄市土地不動產租賃
e_lvr_land_c_park.csv,schema-park.csv,高雄市停車場不動產租賃
f_lvr_land_c.csv,schema-main-rent.csv,新北市不動產租賃
f_lvr_land_c_build.csv,schema-build.csv,新北市建物不動產租賃
f_lvr_land_c_land.csv,schema-land.csv,新北市土地不動產租賃
f_lvr_land_c_park.csv,schema-park.csv,新北市停車場不動產租賃
g_lvr_land_c.csv,schema-main-rent.csv,宜蘭縣不動產租賃
g_lvr_land_c_build.csv,schema-build.csv,宜蘭縣建物不動產租賃
g_lvr_land_c_land.csv,schema-land.csv,宜蘭縣土地不動產租賃
h_lvr_land_c.csv,schema-main-rent.csv,桃園市不動產租賃
h_lvr_land_c_build.csv,schema-build.csv,桃園市建物不動產租賃
h_lvr_land_c_land.csv,schema-land.csv,桃園市土地不動產租賃
h_lvr_land_c_park.csv,schema-park.csv,桃園市停車場不動產租賃
i_lvr_land_c.csv,schema-main-rent.csv,嘉義市不動產租賃
i_lvr_land_c_build.csv,schema-build.csv,嘉義市建物不動產租賃
i_lvr_land_c_land.csv,schema-land.csv,嘉義市土地不動產租賃
i_lvr_land_c_park.csv,schema-park.csv,嘉義市停車場不動產租賃
j_lvr_land_c.csv,schema-main-rent.csv,新竹縣不動產租賃
j_lvr_land_c_build.csv,schema-build.csv,新竹縣建物不動產租賃
j_lvr_land_c_land.csv,schema-land.csv,新竹縣土地不動產租賃
j_lvr_land_c_park.csv,schema-park.csv,新竹縣停車場不動產租賃
k_lvr_land_c.csv,schema-main-rent.csv,苗栗縣不動產租賃
k_lvr_land_c_build.csv,schema-build.csv,苗栗縣建物不動產租賃
k_lvr_land_c_land.csv,schema-land.csv,苗栗縣土地不動產租賃
k_lvr_land_c_park.csv,schema-park.csv,苗栗縣停車場不動產租賃
m_lvr_land_c.csv,schema-main-rent.csv,南投縣不動產租賃
m_lvr_land_c_build.csv,schema-build.csv,南投縣建物不動產租賃
m_lvr_land_c_land.csv,schema-land.csv,南投縣土地不動產租賃
n_lvr_land_c.csv,schema-main-rent.csv,彰化縣不動產租賃
n_lvr_land_c_build.csv,schema-build.csv,彰化縣建物不動產租賃
n_lvr_land_c_land.csv,schema-land.csv,彰化縣土地不動產租賃
o_lvr_land_c.csv,schema-main-rent.csv,新竹市不動產租賃
o_lvr_land_c_build.csv,schema-build.csv,新竹市建物不動產租賃
o_lvr_land_c_land.csv,schema-land.csv,新竹市土地不動產租賃
o_lvr_land_c_park.csv,schema-park.csv,新竹市停車場不動產租賃
q_lvr_land_c.csv,schema-main-rent.csv,嘉義縣不動產租賃
q_lvr_land_c_build.csv,schema-build.csv,嘉義縣建物不動產租賃
q_lvr_land_c_land.csv,schema-land.csv,嘉義縣土地不動產租賃
t_lvr_land_c.csv,schema-main-rent.csv,屏東縣不動產租賃
t_lvr_land_c_land.csv,schema-land.csv,屏東縣土地不動產租賃
u_lvr_land_c.csv,schema-main-rent.csv,花蓮縣不動產租賃
u_lvr_land_c_build.csv,schema-build.csv,花蓮縣建物不動產租賃
u_lvr_land_c_land.csv,schema-land.csv,花蓮縣土地不動產租賃
v_lvr_land_c.csv,schema-main-rent.csv,臺東縣不動產租賃
v_lvr_land_c_build.csv,schema-build.csv,臺東縣建物不動產租賃
v_lvr_land_c_land.csv,schema-land.csv,臺東縣土地不動產租賃
