鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北屯區,建物,臺中市北屯區崇德路二段151~180號,0.0,商,,,1070901,土地0建物1車位0,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990909,66.45,1,1,1,有,有,有,23000,346,,0.0,0,,RPRNMLLJIINFFBB27CC
北區,建物,臺中市北區錦中街1~30號,0.0,其他,,,1070907,土地0建物1車位0,一層,12,店面(店鋪),國民住宅,鋼筋混凝土造,0740323,99.03,1,1,1,有,有,有,20000,202,,0.0,0,,RPOQMLLJIINFFBB27CC
西屯區,土地,中仁段481~510地號,91.87,住,,,1070913,土地1建物0車位0,,,其他,,,,0.0,3,0,0,有,無,無,14000,152,,0.0,0,本租賃建築物未保存證記,RPVOMLLJIINFFCB87CC
西屯區,房地(土地+建物),臺中市西屯區龍門路121~150號,248.26,住,,,1070928,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0870323,343.76,5,3,4,有,無,無,52000,151,,0.0,0,,RPWOMLLJIINFFCB97CC
西屯區,建物,臺中市西屯區中港路二段31~60號,0.0,住,,,1070910,土地0建物1車位0,九層,,住宅大樓(11層含以上有電梯),,,,14.47,0,0,0,無,有,有,25000,1728,,0.0,0,,RPVPMLLJIINFFCB97CC
西屯區,車位,臺中市西屯區文心路三段1~30號,0.0,,,,1070910,土地0建物0車位1,,,其他,,,,37.8,0,0,0,有,有,無,2500,,坡道平面,37.8,0,,RPSQMLLJIINFFCB77CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.67,商,,,1070910,土地1建物1車位0,二十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,55.0,0,0,0,無,有,有,15500,282,,0.0,0,,RPTQMLLJIINFFCB87CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,5.67,商,,,1070913,土地1建物1車位0,十二層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,58.92,0,0,0,無,有,有,16000,272,,0.0,0,,RPUQMLLJIINFFCB97CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,8.49,商,,,1070913,土地1建物1車位1,三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,124.35,0,0,0,無,有,有,24000,193,坡道平面,0.0,0,,RPORMLLJIINFFCB47CC
東區,房地(土地+建物),臺中市東區東光園路91~120號,267.0,住,,,1070831,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0811021,298.4,4,2,2,有,無,無,46000,154,,0.0,0,,RPQOMLLJIINFFAB17CC
烏日區,房地(土地+建物)+車位,臺中市烏日區三榮路一段391~420號,21.86,住,,,1070906,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021118,122.68,2,2,1,有,有,無,20000,163,坡道平面,31.54,0,,RPXNMLLJIINFFIB58CC
烏日區,房地(土地+建物)+車位,臺中市烏日區健行北路91~120號,20.57,住,,,1070921,土地1建物1車位2,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050729,162.99,2,0,0,無,無,有,28000,172,坡道平面,54.26,0,,RPPOMLLJIINFFIB87CC
大里區,房地(土地+建物),臺中市大里區大明路62巷19弄1~30號,77.43,住,,,1070917,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0750909,112.92,3,2,2,有,無,有,17100,151,,0.0,0,臺中市包租代管案件租金市價打9折。,RPPPMLMJIINFFIB08CC
