編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLTJIINFFAG28CC,43,45.00,住家用,鋼筋混凝土加強磚造,65年1月29日,二層,
RPQNMLTJIINFFAG38CC,34,92.34,住工用,鋼筋混凝土造,73年8月9日,三層,
RPRNMLSJIINFFAG58EC,30,190.96,住商用,鋼筋混凝土造,77年4月19日,四層,
